ID,Cemetery,Year,TS,PPA,Tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Fabric,Fabric variant,Slip and painted decoration,Burnishing and polishing,Shaping process: primary,Shaping process: rim,Shaping process: base,Shaping process: comments,Description,Drawing number,Part,Notes,General shape,Pottery type
TAG5517_EGPOT_01,WT1,2015,,,5517,,,,,,,,,Nile B2,,Red splip outside,,wheel made,Folded rim,,,"rim sherd of a jar. The rim is folded, body wheel made",613,R,,Closed vessel,11b
TAG5972_EGPOT_01,WT1,2022,,6,5972,Q2B,,,L1,,,,,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG5992_EGPOT_01,WT1,2022,,14,5992,Q1B,,,L1,,,,,Marl C1,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG5995_EGPOT_01,WT1,2022,,15,5995,Q1B,,,L1,,,,,Marl A3,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG5999_EGPOT_01,WT1,2022,,16,5999,Q1B,,,L1,,,,,Marl C1,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6012_EGPOT_01,WT1,2022,,,6012,Q1B,,,L1,(see PSF004),,,,Marl C1,,,,,,,"Uncertain, worn sherd","body sherd from a closed form, possible potmark on exterior",,X,,Closed vessel,
TAG6040_EGPOT_01,WT1,2022,,,6040,Q1B-2B,,,L8,,FT3,,TB3,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6040_EGPOT_02,WT1,2022,,,6040,Q1B-2B,,,L8,,FT3,,TB3,Nile B1,Sandy (A1?),uncoated,,wheel made,wheel made,,,"rim sherd from a cup, direct, wheel made",605,R,"diameter only for reference, unreliable",Open vessel,3a1.2
TAG6051_EGPOT_01,WT1,2022,,,6051,Q1B,,,L2,,,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6051_EGPOT_02,WT1,2022,,,6051,Q1B,,,L2,,,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6051_EGPOT_03,WT1,2022,,,6051,Q1B,,,L2,,,,,Marl A3,,,,"handmade, ridges of coils visible",,"handmade by coiling, scraped outside with tool",,"body sherd near the base from a medium size jar in Marl A3, coil made, scraping marks outside",,X,"possibly same vessel as Tags 6062, 6411, 6577",Closed vessel,30b3
TAG6062_EGPOT_01,WT1,2022,,,6062,Q1B-3A,,,L11,"possible feature that was not a feature= same as a ""PPA""/concentration of materials but not labelled as a ""PPA"" (?)",,,,Marl A3,,uncoated,,"handmade, ridges of coils visible",,"handmade by coiling, scraped outside with tool",,"body sherd near the base from a medium size jar in Marl A3, coil made, scraping marks outside",,X,"same vessel as tags 6577, 6411. Max body diameter 19 cm",Closed vessel,30b3
TAG6075_EGPOT_01,WT1,2022,,,6075,Q3A,,,L1,between FT4-FT5 and SW corner of Q3A to W excluding TB17 (PSF008),,,,Marl A1,,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Predynastic
TAG6075_EGPOT_02,WT1,2022,,,6075,Q3A,,,L1,between FT4-FT5 and SW corner of Q3A to W excluding TB17 (PSF008),,,,Marl A3,,uncoated,,wheel made,,,,"body sherd from a small globular jar with folded and modelled rim, short, straight neck and round base. Wheel made",551,X,,Closed vessel,22a1
TAG6075_EGPOT_03,WT1,2022,,,6075,Q3A,,,L1,between FT4-FT5 and SW corner of Q3A to W excluding TB17 (PSF008),,,,Marl A3,,uncoated,,wheel made,,,,"body sherd from a small globular jar with folded and modelled rim, short, straight neck and round base. Wheel made",551,X,,Closed vessel,22a1
TAG6075_EGPOT_04,WT1,2022,,,6075,Q3A,,,L1,between FT4-FT5 and SW corner of Q3A to W excluding TB17 (PSF008),,,,Nile C,,,,,,,"Uncertain, worn sherd",blob in Nile C,,X,,Undetermined,
TAG6075_EGPOT_05,WT1,2022,,,6075,Q3A,,,L1,between FT4-FT5 and SW corner of Q3A to W excluding TB17 (PSF008),,,,Nile C,,,,,,,"Uncertain, worn sherd",blob in Nile C,,X,,Undetermined,breadtray?
TAG6079_EGPOT_01,WT1,2022,,,6079,Q3A,,,L1,Eastern part of Q3A: from FT13 to the Eastern limit of Q3A; L1 above TB17 and from TB17 to Eastern limit of Q3A (PSF008),,,,Marl C1,"large inclusions of unmixed clay, visible on the surface",,,"handmade, interior smoothed irregularly with fingers",,,,"body sherd, fingers marks on interior",pot 1,X,,Closed vessel,18b1
TAG6079_EGPOT_02,WT1,2022,,,6079,Q3A,,,L1,Eastern part of Q3A: from FT13 to the Eastern limit of Q3A; L1 above TB17 and from TB17 to Eastern limit of Q3A (PSF008),,,,Marl C1,,,,,,,"Uncertain, worn sherd",small body sherd,,X,,Undetermined,Undetermined
TAG6079_EGPOT_03,WT1,2022,,,6079,Q3A,,,L1,Eastern part of Q3A: from FT13 to the Eastern limit of Q3A; L1 above TB17 and from TB17 to Eastern limit of Q3A (PSF008),,,,Marl C1,,,,,,,"Uncertain, worn sherd",small body sherd,,X,,Undetermined,Undetermined
TAG6079_EGPOT_04,WT1,2022,,,6079,Q3A,,,L1,Eastern part of Q3A: from FT13 to the Eastern limit of Q3A; L1 above TB17 and from TB17 to Eastern limit of Q3A (PSF008),,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,folded and modelled rim,,,"rim sherd, non joining from jar #611. This is the best preserved of the 3 rim sherd and was used for drawing",611,R,,Closed vessel,18b2
TAG6079_EGPOT_05,WT1,2022,,,6079,Q3A,,,L1,Eastern part of Q3A: from FT13 to the Eastern limit of Q3A; L1 above TB17 and from TB17 to Eastern limit of Q3A (PSF008),,,,Nile,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Predynastic?
TAG6079_EGPOT_06,WT1,2022,,,6079,Q3A,,,L1,Eastern part of Q3A: from FT13 to the Eastern limit of Q3A; L1 above TB17 and from TB17 to Eastern limit of Q3A (PSF008),,,,Nile,coarse,,,,,,"Uncertain, worn sherd",body sherd,,X,,Undetermined,Undetermined
TAG6082_EGPOT_01,WT1,2022,,,6082,Q3B,,,L1,L1 above TB8 (L1 above: L18 top layer of filling; L19 stone ring of TB8),,,,Nile B1,,thin red rim on uncoated,,wheel made,wheel made,,,"rim sherd form a cup, direct, wheel made",604,R,joins sherd in Tag 6417,Open vessel,3a1.4
TAG6091_EGPOT_01,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl A1,,uncoated,,handmade,,,,"body sherd, handmade",,X,,Closed vessel,Predynastic
TAG6091_EGPOT_02,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl A3,,uncoated,,wheel made,,,,"body sherd from a jar, wheel made",,X,,Closed vessel,Undetermined
TAG6091_EGPOT_03,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6091_EGPOT_04,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6091_EGPOT_05,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6091_EGPOT_06,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
TAG6091_EGPOT_07,WT1,2022,,,6091,Q3B,,,L1,Q3B: N-NW-W-S of TB8 ? (PSF011),,,,Marl C2,,uncoated,,handmade by coiling and finished on wheel,,,,body sherd from jar #611 non joining,611,X,,Closed vessel,18b2
