ID,Cemetery,Year,TS,PPA,tag,Quadrant,Excavation Trench,Sq,Layer,L1 details,Feature,Offering Place,Tomb,Artifact Class,Artifact type,Proportion,"Long section (Cylindrical, biconical, barrel)","Trans section (Round, flat, rectangular)",Material gen,Material spec,Color,Color Munsell,Status (Entire/broken),Stage,"Surface traces (Chipped, Ground, Polished, Worn)",Length MAX,Length MIN,(Length A-B) - From end to centre for bicones and barrels,(Length B-C) - From end to centre for bicones and barrels,Thickness (cm),Dia MAX (cm),Length (cm),Dia MIN (cm),Width (cm),Hole Dia 1 (cm),Hole Dia 2 (cm),Perforation tech (Drilling / Pecking/ind),Drill act (Im) (Drilling actions (Impression) Single /multiple/stepped (No. steps)),Drill direct (Im) (One side / Two sides),"Drill section (Im) - Cylindrical, tapered, conical","Drill surface (Im) - Parallel striae, irregular striae, smoothed, etc.","Drill tech  (Im) - Stone drill, Ernestite drill, Solid copper, Tubular copper","Bead end 1 - Chipped, Ground, Polished","Bead end 2 - Chipped, Ground, Polished",Photo,Notes
TAG7488-AKAP-PG-SF_0001,WT1,2013,31,,7488,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on the inner side, darker outside",Inner side: N9 (white); On the outside: 10YR7/3,"Well preserved, missing one small piece",Finished,Polished (or grounded),,,,,0.163,0.561,,0.548,,3.35mm (on the outside),2.68mm (on the inside),Drilling or Pecking?,Multiple,"On both sides, but the largest hole is made from the outside","Conical, almost cylindrical",Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7512-AKAP-PG-SF_0002,WT1,2013,55,,7512,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on the inner side, darker outside",Inner side: 10YR8/2; On the outside: 10YR7/3,Well preserved,Finished,Polished (or grounded),,,,,0.16,0.492,,0.48,,2.33mm (on the outside),2.06mm (on the inside),Drilling or Pecking?,Multiple,"On both sides, but the largest hole is made from the outside",Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7522-AKAP-PG-SF_0003,WT1,2013,65,,7522,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,White on both sides; one side is slightly darker but the difference is minimal,Inner side: N9 (white); On the outside: 10YR8/2,"Preserved, partly damaged",Finished,Polished (or grounded),,,,,0.16,0.615,,0.593,,3.23mm (on the lighter side),2.39mm (on the darker side),Drilling or Pecking?,Multiple,Drilled on one side; the deepest drill is from the lighter side of the bead,Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7523-AKAP-PG-SF_0004,WT1,2013,66,,7523,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one",Inner side: N9 (white); On the outside: 10YR8/3,Well preserved,Finished,Polished (or grounded),,,,,0.154,0.479,,0.477,,2.95mm (on the inner side),2.16mm (on the outside),Drilling and pecking,Multiple,Drilled on one side (inner) and pecked on the outside? The hole from the inside is deeper than the other,Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7566-AKAP-PG-SF_0005,WT1,2013,109,,7566,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one; some darker traces on the inside",Inner side: N9 (white); On the outside: 10YR8/3,Well preserved,Finished,Polished (or grounded),,,,,0.136,0.475,,0.469,,1.91mm (on the inside),1.29mm (on the outside),Drilling or Pecking?,Multiple,"Drilled on both side, but the hole on the inner side is deeper",Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7567-AKAP-PG-SF_0006,WT1,2013,110,,7567,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one ",On both sides: 10YR8/2,Well preserved,Finished,Polished (or grounded),,,,,0.187,0.551,,0.543,,2.37mm,2.33mm,Drilling or Pecking?,Multiple,"Drilled on both side, almost symmetrical",Conical,Smoothed,,,,"2, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7600-AKAP-PG-SF_0007,WT1,2013,143,,7600,,,,L1,SC,,,,,Bead,Short,Disc,Flat,Shell,Ostrich eggshell,"White on both sides, slightly darker on one, but difference is minimal",On both sides: 10YR8/2,Well preserved,Finished,Polished (or grounded),,,,,0.189,0.507,,0.498,,2.64mm,2.27mm,Drilling or Pecking?,Multiple,"Drilled on both side, almost symmetrical",Conical,"Smoothed; STRIAE also on the thickness, but not regularly distributed",,,,"3, taken with Dynolite (not good)","Analysed on 7/11/2024: the TS number is not reals, because the beads were found mixed together on only one bag"
TAG7503-AKAP-PG-SF_0090,WT1,2013,46,,7503,,,,L1,SC,,,,,Scarab,Long,Barrel,Rounded and flat,Fayence,Fayence,White,5BG 6/6 and 5B 5/6,Preserved,Finished,,,,,,0.4,,0.777,,0.602,1.40mm (front),1.40mm (back),,,,Cylindrical,An inscription on the back,,,,"4, EDR, Dyno",Analysed 9/11/2024
TAG6228-AKAP-PG-SF_0186,WT1,2022,,,6228,Q3B,, ,L62,,,,TB8,,Spacer,,,,Mother of Pearl,Mother of Pearl,White,,Preserved,Finished,,,,,,0.125,,1.122,,2.311,2.02mm,2.07mm,,,,,,,,,,
TAG6228-AKAP-PG-SF_5926,WT1,2022,,,6228,Q3B,, ,L62,,,,TB8,,Spacer,,,,Mother of Pearl,Mother of Pearl,White,,Fragment,,,,,,,,,,,,,,,,,,,,,,,
